INFO 2026-01-08 18:26:28,522 log 7164 6088 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-08 18:26:32,113 log 7164 6088 "GET /admin/admin_core/role/1/change/ HTTP/1.1" 200 14241
INFO 2026-01-08 18:26:32,125 log 7164 6088 "GET /static/admin/css/forms.css HTTP/1.1" 304 0
INFO 2026-01-08 18:26:32,129 log 7164 15268 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-08 18:26:32,133 log 7164 6088 "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
INFO 2026-01-08 18:26:32,152 log 7164 7696 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
INFO 2026-01-08 18:26:32,160 log 7164 6088 "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
WARNING 2026-01-08 18:30:02,236 log 7164 16408 Unauthorized: /api/
WARNING 2026-01-08 18:30:02,256 log 7164 16408 "GET /api/ HTTP/1.1" 401 4986
INFO 2026-01-08 18:30:02,312 log 7164 16408 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2026-01-08 18:30:02,316 log 7164 13724 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2026-01-08 18:30:02,324 log 7164 16408 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3426
INFO 2026-01-08 18:30:02,328 log 7164 13724 "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2026-01-08 18:30:02,331 log 7164 16408 "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
INFO 2026-01-08 18:30:02,346 log 7164 13724 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3796
INFO 2026-01-08 18:30:02,350 log 7164 16408 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
INFO 2026-01-08 18:30:02,354 log 7164 13724 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2026-01-08 18:30:02,359 log 7164 16408 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2026-01-08 18:30:02,392 log 7164 13724 "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2026-01-08 18:30:02,397 log 7164 13724 "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO 2026-01-08 18:30:02,398 log 7164 16408 "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 200 59
WARNING 2026-01-08 18:30:02,439 log 7164 16408 Not Found: /favicon.ico
WARNING 2026-01-08 18:30:02,443 log 7164 16408 "GET /favicon.ico HTTP/1.1" 404 2361
INFO 2026-01-08 18:34:49,166 log 7164 16408 "GET /admin HTTP/1.1" 301 0
INFO 2026-01-08 18:34:49,173 log 7164 16408 "GET /admin/ HTTP/1.1" 302 0
INFO 2026-01-08 18:34:49,184 log 7164 16408 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4080
INFO 2026-01-08 18:34:49,207 log 7164 13724 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 3538
INFO 2026-01-08 18:34:49,227 log 7164 16408 "GET /static/admin/css/base.css HTTP/1.1" 200 23100
INFO 2026-01-08 18:34:49,228 log 7164 13724 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2026-01-08 18:34:49,236 log 7164 16408 "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2026-01-08 18:34:49,257 log 7164 13724 "GET /static/admin/css/responsive.css HTTP/1.1" 200 16273
